,open,high,low,close,adjusted_close,volume,dividend_amount
2017-11-17,173.5000,174.5000,168.3800,170.1500,39.9834,114281964,0.0000
2017-11-10,172.3650,176.2400,171.7200,174.6700,41.0455,135758833,0.6300
2017-11-03,163.8900,174.2600,163.7200,172.5000,40.3899,203892677,0.0000
2017-10-27,156.8900,163.6000,155.2700,163.0500,38.1773,119574587,0.0000
2017-10-20,157.9000,160.8700,155.0200,156.2500,36.5851,124593299,0.0000
2017-10-13,155.8100,158.0000,155.1000,156.9900,36.7583,80597481,0.0000
2017-10-06,154.2600,155.4900,152.4600,155.3000,36.3626,91971974,0.0000
2017-09-29,149.9900,154.7189,149.1600,154.1200,36.0864,152105993,0.0000
2017-09-22,160.1100,160.5000,150.5600,151.8900,35.5642,182738115,0.0000
2017-09-15,160.5000,163.9600,157.9100,159.8800,37.4350,217839085,0.0000
2017-09-08,163.7500,164.2500,158.5300,158.6300,37.1423,100402255,0.0000
2017-09-01,160.1400,164.9400,159.9300,164.0500,38.4114,124482489,0.0000
2017-08-25,157.5000,160.7400,155.1101,159.8600,37.4303,110686493,0.0000
2017-08-18,159.3200,162.5100,156.7200,157.5000,36.8778,130951564,0.0000
2017-08-11,157.0600,161.8300,154.6300,157.4800,36.8731,148310594,0.6300
2017-08-04,149.9000,159.7500,148.1300,156.3900,36.4699,159721244,0.0000
2017-07-28,150.5800,153.9900,147.3000,149.5000,34.8632,103916337,0.0000
2017-07-21,148.8200,151.7400,148.5700,150.2700,35.0428,103297255,0.0000
2017-07-14,144.1100,149.3300,143.3700,149.0400,34.7559,107844162,0.0000
2017-07-07,144.8800,145.3000,142.4100,144.1800,33.6226,76896820,0.0000
2017-06-30,147.1700,148.2800,142.2800,144.0200,33.5853,125310202,0.0000
2017-06-23,143.6600,147.1600,143.6600,146.2800,34.1123,121757322,0.0000
2017-06-16,145.7400,147.5000,142.2000,142.2700,33.1772,217066551,0.0000
2017-06-09,154.3400,155.9800,146.0200,148.9800,34.7419,157386327,0.0000
2017-06-02,153.4200,155.4500,152.2200,155.4500,36.2507,86663811,0.0000
2017-05-26,154.0000,154.9000,152.6700,153.6100,35.8216,101565411,0.0000
2017-05-19,156.0100,156.6500,149.7100,153.0600,35.6934,154981942,0.0000
2017-05-12,149.0300,156.4200,149.0300,156.1000,36.4023,167770544,0.6300
2017-05-05,145.1000,148.9800,144.2700,148.9600,34.5957,167777285,0.0000
2017-04-28,143.5000,144.9000,143.1800,143.6500,33.3625,89143525,0.0000
2017-04-21,141.4800,142.9200,140.4500,142.2700,33.0420,89248503,0.0000
2017-04-13,143.6000,143.8792,140.0600,141.0500,32.7586,87485653,0.0000
2017-04-07,143.7100,145.4600,143.0500,143.3400,33.2905,105402499,0.0000
2017-03-31,139.3900,144.5000,138.6200,143.6600,33.3648,127008757,0.0000
2017-03-24,140.4000,142.8000,139.7300,140.6400,32.6634,129673979,0.0000
2017-03-17,138.8500,141.0200,138.8200,139.9900,32.5124,121539506,0.0000
2017-03-10,139.3650,139.9800,137.0500,139.1400,32.3150,99672282,0.0000
2017-03-03,137.1400,140.2786,136.2800,139.7800,32.4637,127936976,0.0000
2017-02-24,136.2300,137.4800,135.2800,136.6600,31.7390,87908859,0.0000
2017-02-17,133.0800,136.2700,132.7500,135.7200,31.5207,136667496,0.0000
2017-02-10,129.1300,132.9400,128.9000,132.1200,30.6846,136449154,0.5700
2017-02-03,120.9300,130.4900,120.6200,129.0800,29.8501,249781248,0.0000
2017-01-27,120.0000,122.4400,119.5000,121.9500,28.2013,124748449,0.0000
2017-01-20,118.3400,120.5000,118.2200,120.0000,27.7503,116347987,0.0000
2017-01-13,117.9500,119.9300,117.9400,119.0400,27.5283,138810760,0.0000
2017-01-06,115.8000,118.1600,114.7600,117.9100,27.2670,103845468,0.0000
2016-12-30,116.5200,118.0166,115.4300,115.8200,26.7837,84828531,0.0000
2016-12-23,115.8000,117.5000,115.5900,116.5200,26.9456,113322891,0.0000
2016-12-16,113.2900,116.7300,112.4900,115.9700,26.8184,195015700,0.0000
2016-12-09,110.0000,114.7000,108.2500,113.9500,26.3513,151989664,0.0000
2016-12-02,111.4300,112.4650,108.8500,109.9000,25.4147,155499850,0.0000
2016-11-25,110.1200,112.4200,110.0100,111.7900,25.8517,94132421,0.0000
2016-11-18,107.3200,110.5400,104.0800,110.0600,25.4517,198341456,0.0000
2016-11-11,110.0800,111.7200,105.8300,108.4300,25.0747,207268979,0.0000
2016-11-04,113.6500,114.2300,108.1100,108.8400,25.1696,156346518,0.5700
2016-10-28,117.1000,118.3600,113.3100,113.7200,26.1623,210225569,0.0000
2016-10-21,117.3300,118.2100,113.8000,116.6000,26.8249,115531434,0.0000
2016-10-14,115.0200,118.6900,114.7200,117.6300,27.0618,208708383,0.0000
2016-10-07,112.7100,114.5600,112.2800,114.0600,26.2405,126029440,0.0000
2016-09-30,111.6400,114.6400,111.5500,113.0500,26.0081,156384035,0.0000
2016-09-23,115.1900,116.1800,111.5500,112.7100,25.9299,201095635,0.0000
2016-09-16,102.6500,116.1300,102.5300,114.9200,26.4384,390309366,0.0000
2016-09-09,107.9000,108.7600,103.1300,103.1300,23.7260,168803729,0.0000
2016-09-02,106.6200,108.0000,105.5000,107.7300,24.7842,133000624,0.0000
2016-08-26,108.8600,109.3200,106.3100,106.9400,24.6025,123605519,0.0000
2016-08-19,108.1400,110.2300,108.0800,109.3600,25.1592,132371408,0.0000
2016-08-12,107.5200,108.9400,107.1600,108.1800,24.8878,124505869,0.0000
2016-08-05,104.4100,107.6500,104.0000,107.4800,24.7267,170149120,0.5700
2016-07-29,98.2500,104.5500,96.4200,104.2100,23.8460,256571090,0.0000
2016-07-22,98.7000,101.0000,98.3100,98.6600,22.5761,147565456,0.0000
2016-07-15,96.7500,99.3000,96.7300,98.7800,22.6035,142910566,0.0000
2016-07-08,95.3900,96.8900,94.3700,96.6800,22.1230,112705961,0.0000
2016-07-01,93.0000,96.4650,91.5000,95.8900,21.9422,185461004,0.0000
2016-06-24,96.0000,96.8900,92.6500,93.4000,21.3724,206728924,0.0000
2016-06-17,98.6900,99.1200,95.3000,95.3300,21.8141,191732699,0.0000
2016-06-10,97.9900,101.8900,97.5500,98.8300,22.6150,124864375,0.0000
2016-06-03,99.6000,100.4000,96.6300,97.9200,22.4067,140176985,0.0000
2016-05-27,95.8700,100.7300,95.6700,100.3500,22.9628,204473324,0.0000
2016-05-20,92.3900,95.4300,91.6500,95.2200,21.7889,212707154,0.0000
2016-05-13,93.0000,93.7700,89.4700,90.5200,20.7134,216049836,0.0000
2016-05-06,93.9650,95.9000,91.8500,92.7200,21.2168,225607242,0.5700
2016-04-29,105.0000,105.6500,92.5100,93.7400,21.3199,349424063,0.0000
2016-04-22,108.8900,108.9500,104.6200,105.6800,24.0355,189053016,0.0000
2016-04-15,108.9700,112.3900,108.6600,109.8500,24.9839,162310051,0.0000
2016-04-08,110.4200,112.1900,108.1210,108.6600,24.7132,145722543,0.0000
2016-04-01,106.0000,110.4200,104.8800,109.9900,25.0157,147965003,0.0000
2016-03-24,105.9300,107.6500,104.8900,105.6700,24.0332,119783503,0.0000
2016-03-18,101.9100,106.5000,101.7800,105.9200,24.0901,182073165,0.0000
2016-03-11,102.3900,102.8300,100.1500,102.2600,23.2576,155221501,0.0000
2016-03-04,96.8600,103.7500,96.6500,103.0100,23.4282,201803826,0.0000
2016-02-26,96.3100,98.0237,93.3200,96.9100,22.0409,159052926,0.0000
2016-02-19,95.0200,98.8900,94.6100,96.0400,21.8430,168316315,0.0000
2016-02-12,93.1300,96.3500,92.5900,93.9900,21.3768,231122263,0.0000
2016-02-05,96.4700,97.3300,93.6900,94.0200,21.3836,217154766,0.5200
2016-01-29,101.5200,101.5300,92.3900,97.3400,22.0201,380336530,0.0000
2016-01-22,98.4100,101.4600,93.4200,101.4200,22.9431,243384093,0.0000
2016-01-15,98.9700,101.1900,95.3600,97.1300,21.9726,304337253,0.0000
2016-01-08,102.6100,105.8500,96.4300,96.9600,21.9342,343790211,0.0000
2015-12-31,107.5900,109.4300,104.8200,105.2600,23.8118,123761546,0.0000
2015-12-24,107.2800,109.0000,105.5700,108.0300,24.4384,126634011,0.0000
2015-12-18,112.1800,112.8000,105.8100,106.0300,23.9860,315791335,0.0000
2015-12-11,118.9800,119.8600,112.8510,113.1800,25.6034,188853944,0.0000
2015-12-04,117.9900,119.4100,114.2200,119.0300,26.9268,206765745,0.0000
2015-11-27,119.2700,119.7300,117.1200,117.8100,26.6508,109720453,0.0000
2015-11-20,111.3800,119.9200,111.0000,119.3000,26.9879,189947415,0.0000
2015-11-13,120.9600,121.8100,112.2700,112.3400,25.4134,216555289,0.0000
2015-11-06,119.8700,123.8200,119.6100,121.0600,27.3860,195203256,0.5200
2015-10-30,118.0800,121.2200,113.9900,119.5000,26.9174,322362121,0.0000
2015-10-23,110.8000,119.2280,110.1100,119.0800,26.8228,222074893,0.0000
2015-10-16,112.7300,112.7500,109.5600,111.0400,25.0118,184884970,0.0000
2015-10-09,109.8800,112.2800,108.2100,112.1200,25.2550,262432987,0.0000
2015-10-02,113.8500,114.5700,107.3100,110.3800,24.8631,311138027,0.0000
2015-09-25,113.6700,116.6900,112.3700,114.7100,25.8384,242696241,0.0000
2015-09-18,116.5800,116.8900,111.8700,113.4500,25.5546,277276007,0.0000
2015-09-11,111.6500,114.2100,109.7700,114.2100,25.7258,252662734,0.0000
2015-09-04,112.1300,114.5300,107.3600,109.2700,24.6131,298194194,0.0000
2015-08-28,94.8700,113.3100,92.0000,113.2900,25.5186,500362965,0.0000
2015-08-21,116.0400,117.6500,105.6450,105.7600,23.8224,320509056,0.0000
2015-08-14,116.5300,119.9900,109.6300,115.9600,26.1200,345185326,0.0000
2015-08-07,121.5000,122.5700,112.1000,115.5200,26.0209,384072497,0.5200
2015-07-31,123.0900,123.9100,120.9100,121.3000,27.2000,191598511,0.0000
2015-07-24,130.9700,132.9700,121.9900,124.5000,27.9175,344269021,0.0000
2015-07-17,125.0300,129.6200,124.3200,129.6200,29.0656,189245034,0.0000
2015-07-10,124.9400,126.2300,119.2200,123.2800,27.6440,275718368,0.0000
2015-07-02,125.4600,126.9400,124.4800,126.4400,28.3526,150981872,0.0000
2015-06-26,127.4900,129.8000,126.5100,126.7500,28.4221,195594004,0.0000
2015-06-19,126.1000,128.3100,125.7100,126.6000,28.3884,198525255,0.0000
2015-06-12,128.9000,130.1800,125.6200,127.1700,28.5162,220114589,0.0000
2015-06-05,131.2000,131.3900,128.3600,128.6500,28.8481,170840884,0.0000
2015-05-29,132.6000,132.9100,129.1200,130.2800,29.2136,198148567,0.0000
2015-05-22,128.3800,132.9700,128.3600,132.5400,29.7204,217297426,0.0000
2015-05-15,127.3900,129.4900,124.8200,128.7700,28.8750,208301514,0.0000
2015-05-08,129.5000,130.5700,123.3600,127.6200,28.6172,271891981,0.5200
2015-05-01,132.3100,134.5400,124.5800,128.9500,28.7959,420972321,0.0000
2015-04-24,125.5700,130.6300,125.1700,130.2800,29.0929,207440679,0.0000
2015-04-17,128.3700,128.5700,124.4600,124.7500,27.8579,171186168,0.0000
2015-04-10,124.4700,128.1218,124.3300,127.1000,28.3827,182207413,0.0000
2015-04-02,124.0500,126.4900,123.1000,125.3200,27.9852,162031791,0.0000
2015-03-27,127.1200,128.0400,122.6000,123.2500,27.5230,209326175,0.0000
2015-03-20,123.8800,129.2451,122.8700,125.9000,28.1148,266672975,0.0000
2015-03-13,127.9600,129.5700,121.6300,123.5900,27.5989,326514045,0.0000
2015-03-06,129.2500,130.2800,125.7600,126.6000,28.2711,246938492,0.0000
2015-02-27,130.0200,133.6000,126.6100,128.4600,28.6864,368216362,0.0000
2015-02-20,127.4900,129.5000,126.9200,129.4950,28.9176,194354942,0.0000
2015-02-13,118.5500,127.4800,118.4300,127.0800,28.3783,303206785,0.0000
2015-02-06,118.0500,120.5100,116.0800,118.9300,26.5583,270757404,0.4700
2015-01-30,113.7400,120.0000,109.0300,117.1600,26.0609,465842684,0.0000
2015-01-23,107.8400,113.7500,106.5000,112.9800,25.1311,198737041,0.0000
2015-01-16,112.6000,112.8000,105.2000,105.9900,23.5763,304226647,0.0000
2015-01-09,108.2900,113.2500,104.6300,112.0100,24.9153,282868187,0.0000
